ReleaseURL,Release,Gross,Theaters,TotalGross,ReleaseDate,DistributorURL,Distributor,datetime,Month
/release/rl3041887745/?ref_=bo_yld_table_54,A Good Day to Die Hard,"$67,349,198","3,555","$67,349,198",Feb 14,https://pro.imdb.com/company/co0000756/boxoffice/?view=releases&ref_=mojo_yld_table_54&rf=mojo_yld_table_54,Twentieth Century Fox,2013-02-14,2
/release/rl712541697/?ref_=bo_yld_table_55,Warm Bodies,"$66,380,662","3,009","$66,380,662",Feb 1,https://pro.imdb.com/company/co0173285/boxoffice/?view=releases&ref_=mojo_yld_table_55&rf=mojo_yld_table_55,Lionsgate,2013-02-01,2
/release/rl2254079489/?ref_=bo_yld_table_56,Jack the Giant Slayer,"$65,187,603","3,525","$65,187,603",Mar 1,https://pro.imdb.com/company/co0002663/boxoffice/?view=releases&ref_=mojo_yld_table_56&rf=mojo_yld_table_56,Warner Bros.,2013-03-01,3
/release/rl1684702721/?ref_=bo_yld_table_57,The Purge,"$64,473,115","2,591","$64,473,115",Jun 7,https://pro.imdb.com/company/co0005073/boxoffice/?view=releases&ref_=mojo_yld_table_57&rf=mojo_yld_table_57,Universal Pictures,2013-06-07,6
/release/rl2405402113/?ref_=bo_yld_table_58,Last Vegas,"$62,791,595","3,237","$63,914,167",Nov 1,https://pro.imdb.com/company/co0047306/boxoffice/?view=releases&ref_=mojo_yld_table_58&rf=mojo_yld_table_58,CBS Films,2013-11-01,11
/release/rl2370930177/?ref_=bo_yld_table_59,Ender's Game,"$61,283,464","3,407","$61,737,191",Nov 1,https://pro.imdb.com/company/co0173285/boxoffice/?view=releases&ref_=mojo_yld_table_59&rf=mojo_yld_table_59,Lionsgate,2013-11-01,11
/release/rl3664479745/?ref_=bo_yld_table_60,Prisoners,"$61,002,302","3,290","$61,002,302",Sep 20,https://pro.imdb.com/company/co0002663/boxoffice/?view=releases&ref_=mojo_yld_table_60&rf=mojo_yld_table_60,Warner Bros.,2013-09-20,9
/release/rl994149889/?ref_=bo_yld_table_61,After Earth,"$60,522,097","3,401","$60,522,097",May 31,https://pro.imdb.com/company/co0026545/boxoffice/?view=releases&ref_=mojo_yld_table_61&rf=mojo_yld_table_61,Sony Pictures Entertainment (SPE),2013-05-31,5
/release/rl3478226433/?ref_=bo_yld_table_62,Escape from Planet Earth,"$57,012,977","3,353","$57,012,977",Feb 15,https://pro.imdb.com/company/co0150452/boxoffice/?view=releases&ref_=mojo_yld_table_62&rf=mojo_yld_table_62,The Weinstein Company,2013-02-15,2
/release/rl139888129/?ref_=bo_yld_table_63,Hansel & Gretel: Witch Hunters,"$55,703,475","3,375","$55,703,475",Jan 25,https://pro.imdb.com/company/co0023400/boxoffice/?view=releases&ref_=mojo_yld_table_63&rf=mojo_yld_table_63,Paramount Pictures,2013-01-25,1
/release/rl578192897/?ref_=bo_yld_table_64,Free Birds,"$54,542,536","3,736","$55,750,480",Nov 1,https://pro.imdb.com/company/co0142678/boxoffice/?view=releases&ref_=mojo_yld_table_64&rf=mojo_yld_table_64,Relativity Media,2013-11-01,11
/release/rl2085651969/?ref_=bo_yld_table_65,Evil Dead,"$54,239,856","3,025","$54,239,856",Apr 5,https://pro.imdb.com/company/co0005883/boxoffice/?view=releases&ref_=mojo_yld_table_65&rf=mojo_yld_table_65,TriStar Pictures,2013-04-05,4
/release/rl2087552513/?ref_=bo_yld_table_66,RED 2,"$53,262,560","3,016","$53,262,560",Jul 19,https://pro.imdb.com/company/co0173285/boxoffice/?view=releases&ref_=mojo_yld_table_66&rf=mojo_yld_table_66,Lionsgate,2013-07-19,7
/release/rl1298368001/?ref_=bo_yld_table_67,Temptation: Confessions of a Marriage Counselor,"$51,975,354","2,047","$51,975,354",Mar 29,https://pro.imdb.com/company/co0173285/boxoffice/?view=releases&ref_=mojo_yld_table_67&rf=mojo_yld_table_67,Lionsgate,2013-03-29,3
/release/rl742950401/?ref_=bo_yld_table_68,The Call,"$51,872,378","2,507","$51,872,378",Mar 15,https://pro.imdb.com/company/co0005883/boxoffice/?view=releases&ref_=mojo_yld_table_68&rf=mojo_yld_table_68,TriStar Pictures,2013-03-15,3
/release/rl1315538433/?ref_=bo_yld_table_69,Pain & Gain,"$49,875,291","3,303","$49,875,291",Apr 26,https://pro.imdb.com/company/co0023400/boxoffice/?view=releases&ref_=mojo_yld_table_69&rf=mojo_yld_table_69,Paramount Pictures,2013-04-26,4
/release/rl3814622721/?ref_=bo_yld_table_70,Lincoln,"$48,018,876","2,293","$182,207,973",Nov 9,https://pro.imdb.com/company/co0226183/boxoffice/?view=releases&ref_=mojo_yld_table_70&rf=mojo_yld_table_70,Walt Disney Studios Motion Pictures,2013-11-09,11
/release/rl1180009985/?ref_=bo_yld_table_71,Gangster Squad,"$46,000,903","3,103","$46,000,903",Jan 11,https://pro.imdb.com/company/co0002663/boxoffice/?view=releases&ref_=mojo_yld_table_71&rf=mojo_yld_table_71,Warner Bros.,2013-01-11,1
/release/rl2338162177/?ref_=bo_yld_table_72,Jurassic Park,"$45,385,935","2,778","$45,385,935",Apr 5,https://pro.imdb.com/company/co0005073/boxoffice/?view=releases&ref_=mojo_yld_table_72&rf=mojo_yld_table_72,Universal Pictures,2013-04-05,4
/release/rl1080067585/?ref_=bo_yld_table_73,Tyler Perry's A Madea Christmas,"$45,282,853","2,194","$52,543,354",Dec 13,https://pro.imdb.com/company/co0173285/boxoffice/?view=releases&ref_=mojo_yld_table_73&rf=mojo_yld_table_73,Lionsgate,2013-12-13,12
/release/rl677021185/?ref_=bo_yld_table_74,The Internship,"$44,672,764","3,399","$44,672,764",Jun 7,https://pro.imdb.com/company/co0000756/boxoffice/?view=releases&ref_=mojo_yld_table_74&rf=mojo_yld_table_74,Twentieth Century Fox,2013-06-07,6
